piloto_id,tipo_evento,fecha,activo,severidad
P003,suspension_piloto,2025-01-20,0,
P004,suspension_piloto,2026-09-05,0,
P004,invitacion_pibox,2026-08-26,0,
P006,suspension_piloto,2026-08-16,0,
P006,suspension_piloto,2026-06-17,0,
P006,suspension_piloto,2026-02-27,0,
P006,baneo_imei,2026-09-01,1,
P008,expulsion,2025-08-11,0,
P008,invitacion_rent,2024-03-01,0,
P011,suspension_pasajero,2026-07-01,0,
P108,invitacion_pibox,2026-05-10,0,
P112,invitacion_pibox,2024-11-12,0,
P112,suspension_piloto,2026-03-26,0,
P112,suspension_piloto,2025-02-05,0,
P121,invitacion_rent,2025-04-19,0,
P123,suspension_piloto,2026-01-17,0,
P128,suspension_pasajero,2025-07-14,0,
P128,suspension_pasajero,2026-08-27,0,
P128,suspension_piloto,2025-03-08,0,
P128,expulsion,2026-06-27,0,
P131,invitacion_rent,2026-03-28,0,
P131,suspension_piloto,2026-08-03,0,
P146,suspension_piloto,2026-02-20,0,
P147,invitacion_rent,2025-04-17,0,
P147,invitacion_pibox,2026-07-31,0,
P149,expulsion,2025-11-20,0,
P160,invitacion_rent,2025-09-12,0,
P162,suspension_pasajero,2024-11-01,0,
P162,suspension_pasajero,2025-11-21,0,
P162,invitacion_rent,2024-10-30,0,
P164,suspension_piloto,2026-04-14,0,
P170,suspension_pasajero,2026-03-22,0,
P173,expulsion,2025-03-30,0,
P184,suspension_piloto,2025-07-05,0,
P186,invitacion_pibox,2026-09-02,0,
P186,invitacion_pibox,2025-01-23,0,
P186,invitacion_rent,2025-09-26,0,
P187,suspension_pasajero,2026-09-06,0,
P187,suspension_piloto,2026-06-22,0,
P189,invitacion_rent,2026-02-01,0,
P190,suspension_pasajero,2024-12-06,0,
P190,suspension_piloto,2026-06-02,0,
P190,expulsion,2025-08-14,0,
P190,expulsion,2025-05-14,0,
P190,suspension_piloto,2025-02-04,0,
P190,suspension_pasajero,2025-04-12,0,
P190,invitacion_rent,2025-10-07,0,
P190,suspension_piloto,2026-02-28,0,
P191,suspension_pasajero,2025-01-31,0,
P191,expulsion,2025-08-07,0,
P210,suspension_piloto,2025-04-24,0,
P212,invitacion_pibox,2026-02-25,0,
P214,suspension_piloto,2025-11-20,0,
P214,suspension_pasajero,2024-11-10,0,
P214,suspension_piloto,2026-09-03,0,
P217,suspension_pasajero,2025-07-25,0,
P218,suspension_piloto,2025-10-28,0,
