piloto_id,booking_id,fecha_recaudo,monto,fecha_abono,fecha_saldado
P011,5f915ef09cfbac6e7687a66e,2026-09-10 10:00:00,62000,2026-09-10 18:30:00,2026-09-10 18:30:00
P012,ddd6ff552fa73207237751aa,2026-09-04 17:00:00,150000,2026-09-07 15:00:00,2026-09-07 15:00:00
P012,80b65386569c803601a5ba50,2026-08-20 09:00:00,85000,2026-08-22 12:00:00,2026-08-22 12:00:00
P012,14b044d79acd8acde5f6db1d,2026-08-25 09:00:00,62000,2026-08-27 09:00:00,2026-08-27 09:00:00
P012,9ddcc6f8efb6fbfe8de4ab47,2026-09-08 09:00:00,150000,,
P001,61076dc3ba6ace6c0a78250f,2026-08-30 11:00:00,48000,2026-08-31 09:00:00,2026-08-31 09:00:00
P001,73b7a490f23b2cc4b4174a67,2026-09-15 10:00:00,150000,,
P103,2b1e1885283b73a66c2ea417,2026-07-10 17:00:00,48000,2026-07-12 14:10:51,2026-07-12 14:10:51
P103,21e6a46f1c670ea90d243a16,2026-07-07 16:00:00,120000,2026-07-08 03:48:21,2026-07-08 03:48:21
P103,fdb119a9ec801bdfdf2965b3,2026-07-09 07:00:00,120000,2026-07-09 23:42:09,2026-07-09 23:42:09
P106,b03da701c632976a10363c5f,2026-08-14 20:00:00,85000,2026-08-17 02:07:30,2026-08-17 02:07:30
P106,e323bb2abf00188dca22e4c7,2026-08-07 14:00:00,35000,2026-08-07 23:50:36,2026-08-07 23:50:36
P106,3478442b4a8aa593eb40a9b8,2026-08-28 15:00:00,150000,2026-08-30 09:01:51,2026-08-30 09:01:51
P109,cb01c357b9c7e435396bcb8f,2026-07-18 18:00:00,85000,2026-07-20 04:43:04,2026-07-20 04:43:04
P109,c5c7d1861674518de3bb41b3,2026-07-13 20:00:00,62000,,
P110,6583d61435bb5c11e9502700,2026-07-27 18:00:00,62000,2026-07-29 05:04:43,2026-07-29 05:04:43
P113,0b0ecf26cf3c17e55777039e,2026-08-21 11:00:00,48000,,
P115,01597ac1e2eb17c8b573f6c5,2026-07-06 11:00:00,85000,2026-07-08 06:58:32,2026-07-08 06:58:32
P115,60fa1c95e553fb510e06acd4,2026-08-19 20:00:00,210000,2026-08-21 23:53:13,2026-08-21 23:53:13
P116,0602fe0c239edd3a7de0d208,2026-09-09 09:00:00,48000,2026-09-10 06:48:57,2026-09-10 06:48:57
P117,e80a86cfbc79ce036cbaccf1,2026-07-28 08:00:00,210000,2026-07-30 12:03:53,2026-07-30 12:03:53
P118,98cae043f6c986f21caf107a,2026-09-09 11:00:00,35000,2026-09-11 07:15:32,2026-09-11 07:15:32
P120,9425b3e2c3ad4d991f0916cb,2026-07-12 08:00:00,48000,2026-07-13 20:22:37,2026-07-13 20:22:37
P121,33fb4b4fda298adee5329b4e,2026-07-17 07:00:00,62000,2026-07-18 10:06:03,2026-07-18 10:06:03
P122,15607df9e4794195021cd6ff,2026-08-09 16:00:00,48000,2026-08-11 23:34:12,2026-08-11 23:34:12
P123,04789365eaeb999b8a2e547e,2026-07-03 16:00:00,120000,2026-07-05 02:47:53,2026-07-05 02:47:53
P126,7f2a75ec92aeb20c15b7d95f,2026-08-20 20:00:00,120000,2026-08-21 14:00:40,2026-08-21 14:00:40
P128,6b8c290d32bba064ebc1d3d2,2026-07-14 11:00:00,35000,2026-07-16 11:43:22,2026-07-16 11:43:22
P128,a382fe103131b13d65ec29f8,2026-07-24 10:00:00,210000,2026-07-25 20:10:43,2026-07-25 20:10:43
P128,946dc860b36ac08417ea3a98,2026-08-19 07:00:00,48000,2026-08-20 22:03:44,2026-08-20 22:03:44
P129,9be01b4ff09131582c2c93ab,2026-08-11 18:00:00,150000,2026-08-12 16:49:24,2026-08-12 16:49:24
P133,0dde4b940a8c16a8f554d8c2,2026-08-20 08:00:00,62000,2026-08-21 19:19:21,2026-08-21 19:19:21
P133,9b3bc5efaee7d5168e187590,2026-07-06 15:00:00,210000,2026-07-07 22:10:04,2026-07-07 22:10:04
P134,44b00011bec2223b2638d17f,2026-08-26 12:00:00,150000,2026-08-28 06:27:11,2026-08-28 06:27:11
P135,ff7a96319345a915feb0b634,2026-07-25 14:00:00,35000,2026-07-27 15:12:38,2026-07-27 15:12:38
P135,b4999178de6081741f0fd9e9,2026-09-06 12:00:00,85000,2026-09-07 07:08:05,2026-09-07 07:08:05
P135,3c9e0381e7f8ec98f36face1,2026-08-28 11:00:00,48000,,
P136,0b0410008141df319c72d92c,2026-07-28 10:00:00,150000,2026-07-29 14:47:27,2026-07-29 14:47:27
P136,ac937076d87d8e185daeb168,2026-08-28 17:00:00,120000,2026-08-29 16:24:10,2026-08-29 16:24:10
P136,c64dd2e190b301ff971b3776,2026-08-15 16:00:00,150000,,
P137,58e1fa75de0c057f163488cb,2026-08-21 18:00:00,35000,,
P138,958a3010e1b7a662dd317781,2026-08-02 20:00:00,62000,2026-08-05 04:57:43,2026-08-05 04:57:43
P138,66f4a21535c490fa738865ad,2026-07-09 13:00:00,48000,2026-07-10 06:11:21,2026-07-10 06:11:21
P139,930e3b99f268403afc6f313e,2026-08-07 17:00:00,150000,2026-08-09 01:39:01,2026-08-09 01:39:01
P140,cca380aa61027d4d04b3acba,2026-07-21 14:00:00,120000,2026-07-22 08:25:47,2026-07-22 08:25:47
P001,4506f38b71aaeea938c1b7e0,2026-08-01 13:07:00,62000,2026-08-01 13:07:18,2026-08-01 13:07:18
P001,0e1f35a9c8bab293847b27e2,2026-07-10 17:18:00,35000,2026-07-10 17:18:11,2026-07-10 17:18:11
P001,b59e60ce58989c777f510ef5,2026-08-25 15:51:00,210000,2026-08-25 15:51:32,2026-08-25 15:51:32
P001,1884b5ff3b1fc1dca5d9b12a,2026-07-19 18:04:00,210000,2026-07-19 18:04:32,2026-07-19 18:04:32
P001,aae1a1d5239e666a5e8e6030,2026-08-17 12:55:00,62000,2026-08-17 12:55:40,2026-08-17 12:55:40
P001,f0812e130cedd05a07851326,2026-07-23 20:56:00,210000,2026-07-23 20:56:21,2026-07-23 20:56:21
P004,0c7fe292030a390425f84121,2026-07-09 09:07:00,35000,2026-07-09 09:07:43,2026-07-09 09:07:43
P004,03c988cd9c8e744c4b533d78,2026-08-07 19:24:00,210000,,
P004,2326111a471918ad8fdac907,2026-08-10 09:30:00,35000,,
P005,b42f1cfd247c3a58738efacd,2026-08-23 08:04:00,120000,2026-08-23 08:04:31,2026-08-23 08:04:31
P005,c58e70c9462f09dfb728cfc0,2026-08-19 19:10:00,120000,2026-08-19 19:10:47,2026-08-19 19:10:47
P005,20db29c48761e88346dfba81,2026-08-12 08:59:00,48000,2026-08-12 08:59:08,2026-08-12 08:59:08
P005,0354e640dbee95d538efb8d1,2026-07-06 19:50:00,48000,,
P010,154c5eb5636694ba8ba64bc3,2026-07-16 14:37:00,48000,2026-07-16 14:37:40,2026-07-16 14:37:40
P010,075db002a6ac1edef0f835a3,2026-08-19 11:34:00,120000,2026-08-19 11:34:09,2026-08-19 11:34:09
P010,e8d73f93a440ea658980f4e0,2026-08-18 11:33:00,210000,2026-08-18 11:33:38,2026-08-18 11:33:38
P010,396b36e6b994d45b10773c7e,2026-07-21 16:34:00,150000,2026-07-21 16:34:24,2026-07-21 16:34:24
P010,7d7ec6cc0f7971c5741aa7e4,2026-07-04 08:44:00,150000,2026-07-04 08:44:36,2026-07-04 08:44:36
P103,e037aa6b7ef4aa1f9fff1517,2026-07-12 20:46:00,48000,2026-07-12 20:46:41,2026-07-12 20:46:41
P103,68e6304cad95132c0c0255e7,2026-07-20 16:05:00,85000,2026-07-20 16:05:44,2026-07-20 16:05:44
P103,159c15f42e6a8726c0adc89a,2026-07-03 10:02:00,35000,2026-07-03 10:02:43,2026-07-03 10:02:43
P103,06a6141c7981029c891b0f4e,2026-07-12 16:30:00,150000,2026-07-12 16:30:40,2026-07-12 16:30:40
P105,1b323c8a234de559d5315b90,2026-08-19 09:24:00,62000,2026-08-19 09:24:35,2026-08-19 09:24:35
P105,1bd8adbe389d947ef7fbaadb,2026-07-15 19:08:00,35000,2026-07-15 19:08:17,2026-07-15 19:08:17
P105,bdb5dc011a86d9325f576f4c,2026-07-04 08:41:00,35000,2026-07-04 08:41:10,2026-07-04 08:41:10
P105,14c54c80a27c98a1dfd3e85d,2026-08-21 15:12:00,48000,2026-08-21 15:12:28,2026-08-21 15:12:28
P105,707311d203f691da328606f9,2026-07-09 19:33:00,62000,2026-07-09 19:33:48,2026-07-09 19:33:48
P105,405103f4e61eb23e0ecc3201,2026-07-04 15:51:00,85000,2026-07-04 15:51:31,2026-07-04 15:51:31
P105,ae62a6650f0104c7a391c4ba,2026-08-20 20:14:00,62000,,
P106,eb83797afa37fe7ae0673fcb,2026-08-26 13:59:00,62000,2026-08-26 13:59:05,2026-08-26 13:59:05
P108,d64c7424e17de40858d12b5f,2026-08-20 12:31:00,85000,2026-08-20 12:31:41,2026-08-20 12:31:41
P108,9c47b1217773c5da7635399e,2026-08-07 08:17:00,120000,2026-08-07 08:17:24,2026-08-07 08:17:24
P108,5334c6c90f12a83066f45710,2026-08-15 13:11:00,35000,2026-08-15 13:11:26,2026-08-15 13:11:26
P108,5d56b7cdb62b9453360a725b,2026-07-11 15:01:00,150000,2026-07-11 15:01:17,2026-07-11 15:01:17
P108,99798da59b473b86f65ab21f,2026-07-21 08:21:00,210000,2026-07-21 08:21:33,2026-07-21 08:21:33
P108,ab7640b004e52899136bcef2,2026-08-07 18:34:00,120000,2026-08-07 18:34:26,2026-08-07 18:34:26
P109,7696a3f6195e41188099e842,2026-08-25 20:51:00,150000,2026-08-25 20:51:37,2026-08-25 20:51:37
P109,fbb529c502c3fdff39470644,2026-07-10 15:13:00,62000,2026-07-10 15:13:09,2026-07-10 15:13:09
P109,8276156f1896afe5b190fa85,2026-07-03 09:21:00,210000,2026-07-03 09:21:15,2026-07-03 09:21:15
P109,8196cdfc96282981e3709a07,2026-08-21 20:25:00,210000,2026-08-21 20:25:29,2026-08-21 20:25:29
P110,ccace0c32eb3c971913b7864,2026-08-07 12:58:00,120000,2026-08-07 12:58:29,2026-08-07 12:58:29
P110,0526946ae3356d12af2845fa,2026-07-19 09:00:00,62000,2026-07-19 09:00:24,2026-07-19 09:00:24
P110,fa65aa9de8807c346d5828fe,2026-08-17 20:48:00,210000,2026-08-17 20:48:48,2026-08-17 20:48:48
P110,ae06ecf17a933b527394046e,2026-07-09 11:09:00,48000,2026-07-09 11:09:38,2026-07-09 11:09:38
P110,99d43008be5dd25458ffa478,2026-07-11 09:47:00,35000,2026-07-11 09:47:48,2026-07-11 09:47:48
P110,f35c979bc74e929989aa88c1,2026-08-12 07:37:00,150000,2026-08-12 07:37:16,2026-08-12 07:37:16
P112,91903f77af8f8222d6d346dc,2026-07-14 10:32:00,85000,2026-07-14 10:32:17,2026-07-14 10:32:17
P112,5f401fa97f07439a5ad72b63,2026-07-28 15:03:00,35000,2026-07-28 15:03:50,2026-07-28 15:03:50
P112,ba00eddaa1d44df06ff829e4,2026-08-26 19:25:00,48000,2026-08-26 19:25:34,2026-08-26 19:25:34
P112,3f4300bce3764a6f429c04dd,2026-07-06 16:05:00,210000,2026-07-06 16:05:27,2026-07-06 16:05:27
P112,a9889f94eed056d303156ff9,2026-08-17 09:48:00,120000,2026-08-17 09:48:38,2026-08-17 09:48:38
P112,da9736d2b767178e0e7645eb,2026-08-22 10:11:00,120000,2026-08-22 10:11:06,2026-08-22 10:11:06
P114,d269cc4867e37f49138dcd2b,2026-07-11 11:25:00,210000,2026-07-11 11:25:07,2026-07-11 11:25:07
P114,d6c065802c4e8a14507ac7c4,2026-07-15 14:44:00,48000,2026-07-15 14:44:07,2026-07-15 14:44:07
P114,61a5708b94b19e5becaaf3c1,2026-07-21 17:50:00,210000,2026-07-21 17:50:38,2026-07-21 17:50:38
P114,6a8610f04919645c23e16642,2026-07-27 13:02:00,85000,2026-07-27 13:02:30,2026-07-27 13:02:30
